Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2018-12-13,40650,40750,40000,40000,35486.57031,26254646,35693.57682,35814.82109
2018-12-14,40200,40200,38700,38950,34555.04688,19671783,35309.13802,35459.95547
2018-12-17,38650,39600,38650,39150,34732.48047,11532968,34924.69922,35273.65156
2018-12-18,38300,39200,38300,38900,34510.69922,11042101,34599.40885,35034.11875
2018-12-19,38900,39350,38850,39100,34688.12109,9942037,34643.76693,34794.58359
2018-12-20,38600,39100,38500,38650,34288.89844,11937617,34495.90625,34555.04922
2018-12-21,38200,38650,38100,38650,34288.89844,14947080,34421.97266,34501.81953
2018-12-24,38500,39050,38300,38800,34421.97266,9729530,34333.25651,34439.71797
2018-12-26,38400,38750,38300,38350,34022.74609,12707675,34244.53906,34342.12734
2018-12-27,38700,38800,38100,38250,34250.19141,10510643,34231.63672,34254.54141
2018-12-28,38250,38900,38200,38700,34653.12891,9900267,34308.6888,34327.3875
2019-01-02,39400,39400,38550,38750,34697.89844,7847664,34533.73958,34409.1875
2019-01-03,38300,38550,37450,37600,33668.16406,12471493,34339.73047,34258.42578
2019-01-04,37450,37600,36850,37450,33533.85156,14108958,33966.63802,34160.64688
2019-01-07,38000,38900,37800,38750,34697.89844,12748997,33966.63802,34250.18828
2019-01-08,38000,39200,37950,38100,34115.875,12756554,34115.875,34142.7375
2019-01-09,38650,39600,38300,39600,35459.02734,17452708,34757.60026,34294.96328
2019-01-10,40000,40150,39600,39800,35638.10547,14731699,35071.0026,34688.95156
2019-01-11,40350,40550,39950,40500,36264.91016,11661063,35787.34766,35235.16328
2019-01-14,40450,40700,39850,40050,35861.96484,11984996,35921.66016,35467.97656
2019-01-15,40050,41100,39850,41100,36802.15625,11492756,36309.67708,36005.23281
2019-01-16,41150,41450,40700,41450,37115.56641,8491595,36593.22917,36336.54063
2019-01-17,41700,42100,41450,41950,37563.28125,11736903,37160.33464,36721.57578
2019-01-18,42000,42400,41950,42300,37876.67969,11029256,37518.50911,37043.92969
2019-01-21,42700,42750,41900,42750,38279.625,11355701,37906.52865,37527.46172
2019-01-22,42750,42850,41850,42150,37742.36328,9964356,37966.22266,37715.50313
2019-01-23,41350,42250,41350,42000,37608.04688,11071079,37876.67839,37813.99922
2019-01-24,43050,43100,42350,43050,38548.25391,14747623,37966.22135,38010.99375
2019-01-25,44300,44750,43750,44750,40070.47266,22789395,38742.25781,38449.75234
2019-01-28,45000,45500,44600,45050,40339.11719,17998914,39652.61458,38861.65078
2019-01-29,45050,45500,44350,45500,40742.0625,16215017,40383.88411,39461.59062
2019-01-30,44800,46400,44800,46400,41547.94141,17505980,40876.3737,40249.56953
2019-01-31,46650,47050,46150,46150,41324.08203,21621145,41204.69531,40804.73516
2019-02-01,46650,46950,46250,46350,41503.16406,13832454,41458.39583,41091.27344
2019-02-07,46800,47100,46200,46200,41368.85547,15872001,41398.70052,41297.22109
2019-02-08,45700,45700,44650,44800,40115.25,12689196,40995.75651,41171.85859
2019-02-11,44500,45000,44250,45000,40294.33984,11125044,40592.8151,40921.13828
2019-02-12,44650,46250,44650,46050,41234.54297,13184367,40548.04427,40903.23047
2019-02-13,46400,46700,46000,46200,41368.85547,11299738,40965.91276,40876.36875
2019-02-14,46600,47500,46150,47500,42532.91797,17259341,41712.10547,41109.18125
2019-02-15,46750,46850,45650,46050,41234.54297,10554643,41712.10547,41333.03984
2019-02-18,46500,46850,45850,46200,41368.85547,8183728,41712.10547,41547.94297
2019-02-19,45850,46150,45450,45950,41145,6741395,41249.46615,41530.03438
2019-02-20,46750,47100,46500,46900,41995.65625,11506720,41503.17057,41655.39453
2019-02-21,46500,47200,46200,46950,42040.42578,8694009,41727.02734,41556.89609
2019-02-22,46500,47150,46450,47150,42219.51563,6895772,42085.19922,41753.89063
2019-02-25,47400,47550,47050,47350,42398.60156,7484716,42219.51432,41959.83984
2019-02-26,47350,47450,46500,46750,41861.34766,7985547,42159.82161,42103.10938
2019-02-27,47000,47250,46750,46750,41861.34766,8045211,42040.43229,42076.24766
2019-02-28,46400,46500,45100,45100,40383.87891,23569321,41368.85807,41744.93828
2019-03-04,46000,46100,44800,44850,40160.03125,12926539,40801.7526,41333.04141
2019-03-05,44600,45100,44150,44250,39622.76953,10612405,40055.5599,40777.875
2019-03-06,44000,44300,43700,44000,39398.91016,10202544,39727.23698,40285.3875
2019-03-07,43400,44950,43400,44450,39801.85547,11049749,39607.84505,39873.48906
2019-03-08,44450,44800,43800,43800,39219.82422,7729069,39473.52995,39640.67812
2019-03-11,44400,44450,43650,43650,39085.51953,10717408,39369.06641,39425.77578
2019-03-12,44300,44950,44150,44650,39980.9375,11431977,39428.76042,39497.40938
2019-03-13,44250,44450,43700,43850,39264.59375,8108343,39443.68359,39470.54609
2019-03-14,43700,44300,43550,43850,39264.59375,18039161,39503.375,39363.09375
2019-03-15,43800,44250,43700,44200,39577.99609,16814163,39369.0612,39434.72813
2019-03-18,43950,44150,43450,43700,39130.27734,8188876,39324.28906,39443.67969
2019-03-19,43750,43900,43550,43900,39309.37109,7609563,39339.21484,39309.36641
2019-03-20,43800,44200,43100,44050,39443.68359,9846242,39294.44401,39345.18438
2019-03-21,44600,46250,44050,45850,41055.45313,21138016,39936.16927,39703.35625
2019-03-22,46850,47000,46250,46550,41682.25391,12535911,40727.13021,40124.20781
2019-03-25,45300,45650,44800,45500,40742.0625,8699728,41159.92318,40446.56484
2019-03-26,45500,45700,44900,45250,40518.19531,9729811,40980.83724,40688.32969
2019-03-27,44750,45600,44250,45350,40607.74219,9568081,40622.66667,40921.14141
2019-03-28,44950,45200,44300,44850,40475.98438,6821306,40533.97396,40805.24766
2019-03-29,44500,44900,44200,44650,40295.48047,11491713,40459.73568,40527.89297
2019-04-01,45200,45450,44850,45050,40656.47656,7362129,40475.98047,40510.77578
2019-04-02,45550,46100,45350,45750,41288.20313,9480688,40746.72005,40664.77734
2019-04-03,46750,46750,45800,46600,42055.3125,12436570,41333.33073,40954.29141
